name,description,price,currency,rating,reviews_count,availability,url,image_url,source,scraped_at,confidence
"var aPageStart = (new Date()).getTime(); var ue_t0=ue_t0||+new Date(); window.ue_ihb = (window.ue_ihb || window.ueinit || 0) + 1; if (window.ue_ihb === 1) { var ue_csm = window, ue",,500.0,INR,4.1,36,Out of Stock,https://www.amazon.in/s?k=power+bank&rh=p_36%3A100000-500000,,meta,2026-04-01T13:30:04.559226Z,0.565
"var aPageStart = (new Date()).getTime(); var ue_t0=ue_t0||+new Date(); window.ue_ihb = (window.ue_ihb || window.ueinit || 0) + 1; if (window.ue_ihb === 1) { var ue_csm = window, ue",,1000.0,INR,3.7,36,Out of Stock,https://www.amazon.in/s?k=power+bank&rh=p_36%3A100000-500000&page=2&xpid=MF-idPesUNEDq&qid=1775050184&ref=sr_pg_1,,meta,2026-04-01T13:30:14.416089Z,0.565
URBN 20000mAh Nano Plus 35W Turbo Fast Charging Power Bank | Two-Way Fast Charge | Metallic Finish | 12-Layer Circuit Protection | 1 Year Warranty (Blue Titanium) 4.1,,1999.0,,4.1,85.0,,https://www.amazon.in/URBN-20000mAh-Charging-Metallic-Protection/dp/B0FWKN2R4Z/ref=sr_1_19?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-19&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/613Pjo901AL._AC_UY218_.jpg,dom,2026-04-01T13:30:30.823532Z,0.7498
"URBN 20000mAh 65W Smallest Rapid Charging Nano Power Bank with Inbuilt USB-C Cable | PD, QC & PPS Compatible | Dual Output Compact Power Bank for Laptop, Smartphone & Tablet 4.1",,2499.0,,4.1,53.0,,https://www.amazon.in/URBN-20000mAh-Smallest-Compatible-Smartphone/dp/B0GGHRXWSN/ref=sr_1_20?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-20&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/61seUDE8u8L._AC_UY218_.jpg,dom,2026-04-01T13:30:30.823830Z,0.7498
"Ambrane 10000mAh Slim & Compact Powerbank with in-Build Type C Cable, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Tablets, Earbuds, (Stylo N10,Purple) 4.2 4.2 out of 5 sta",,1099.0,,4.2,982.0,,https://www.amazon.in/Ambrane-10000mAh-Powerbank-Charging-Delivery/dp/B0DWSQBX9K/ref=sr_1_21?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-21&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/81ro+knV+HL._AC_UY218_.jpg,dom,2026-04-01T13:30:30.824127Z,0.7498
"Portronics Luxcell MagClick 10k 10000 mAh 15W Magnetic Wireless Fast Charging Power Bank Premium Finish, 22.5 Wired Output Compatible with iPhone 12 & Above,Type C Smartphones,Tablets(Dark Grey) 3.9",,1499.0,,3.9,7600.0,,https://www.amazon.in/Portronics-MagClick-Magnetic-Compatible-Smartphones/dp/B0D45GMSFZ/ref=sr_1_22?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-22&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/51BsxOdN0xL._AC_UY218_.jpg,dom,2026-04-01T13:30:30.825044Z,0.7498
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More 4.2",,2948.0,,4.2,5100.0,,https://www.amazon.in/Duracell-Slimmest-Charging-Portable-Simultaneously/dp/B0BJV4L36G/ref=sr_1_23?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-23&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/71v2vTeF99L._AC_UY218_.jpg,dom,2026-04-01T13:30:30.825343Z,0.7498
"Spigen ArcPack 30000mAh Power Bank, PD3.0, PPS, Fast Charging, 30.0W Max Output, 2 Type-C Ports, 1 USB-A Port - (ABS+PC, Black) 4.1",,2855.0,,4.1,242.0,,https://www.amazon.in/Spigen-ArcPack-30000mAh-Carging-Output/dp/B0CSSN83R4/ref=sr_1_24?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-24&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/71vMUJuoipL._AC_UY218_.jpg,dom,2026-04-01T13:30:30.825618Z,0.7498
"Stuffcool Giga Max Smallest 25000mAh 100W Power Bank, Built-in Type-C Cable, Charges MacBook Pros, laptops, supports Samsung Super Fast Charging 2.0; Smart TFT Display, Made in India, CE ROHS Approved 4.1 4.1 out of 5 st",,4899.0,,4.1,362.0,,https://www.amazon.in/Stuffcool-Giga-Max-Smallest-25000mAh/dp/B0FL2H8HZ6/ref=sr_1_25?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-25&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/61mmB3s9d7L._AC_UY218_.jpg,dom,2026-04-01T13:30:30.825911Z,0.7498
"Ambrane 20000mAh Powerbank with in-Build Type C Cable, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android Mobile & Tablets, Earbuds, (Stylo N20, Purple) 3.9",,1598.0,,3.9,16000.0,,https://www.amazon.in/Ambrane-20000mAh-Powerbank-Charging-Delivery/dp/B0DZHF6N9Q/ref=sr_1_26?dib=eyJ2IjoiMSJ9.6Ugh6_PT9RuRHZ0YSBavhQxpV2TM35vSGBT6PdMgSYS3fzncicmFxgpgxfUODUt9lSQilDwIfv9A83UxLYfWwzyJ9hAvCaxGgz6CxEeaeuUhtYtjE4YThpVMtj6EsaHkErlCl00z8JSM14GRjbZOV-wgiHQJjkBkdkRGcZUHhdNiVjF3PbgLjfjkb5VBQdYwm-WBKnI44e5F9ZtofEiF3bSY1QsmoyMb5pRZL8xqIt0.oK2re33XSVpNvYz7Q1VnLKZOV335yLSePKNzl2iuDfc&dib_tag=se&keywords=power+bank&qid=1775050206&refinements=p_36%3A100000-500000&sr=8-26&xpid=MF-idPesUNEDq,https://m.media-amazon.com/images/I/8169fyLD3vL._AC_UY218_.jpg,dom,2026-04-01T13:30:30.826193Z,0.7498
